Date,VIX,SOX,DJIA,IXIC,SP500,FnG
2017-11-03,9.14,1299.97,23539.19,6764.44,2587.84,66.0
2017-11-06,9.4,1317.34,23548.42,6786.44,2591.13,68.0
2017-11-07,9.89,1316.55,23557.23,6767.78,2590.64,58.0
2017-11-08,9.78,1321.13,23563.36,6789.12,2594.38,54.0
2017-11-09,10.5,1294.66,23461.94,6750.05,2584.62,54.0
2017-11-10,11.29,1303.06,23422.21,6750.94,2582.3,54.0
2017-11-13,11.5,1306.58,23439.7,6757.6,2584.84,53.0
2017-11-14,11.59,1305.0,23409.47,6737.87,2578.87,49.0
2017-11-15,13.13,1293.2,23271.28,6706.21,2564.62,36.0
2017-11-16,11.76,1313.11,23458.36,6793.29,2585.64,50.0
2017-11-17,11.43,1306.93,23358.24,6782.79,2578.85,44.0
2017-11-20,10.65,1322.81,23430.33,6790.71,2582.14,50.0
2017-11-21,9.73,1337.92,23590.83,6862.48,2599.03,54.0
2017-11-22,9.88,1329.1,23526.18,6867.36,2597.08,54.0
2017-11-24,9.67,1341.69,23557.99,6889.16,2602.42,59.0
2017-11-27,9.87,1324.15,23580.78,6878.52,2601.42,51.0
2017-11-28,10.03,1323.08,23836.71,6912.36,2627.04,64.0
2017-11-29,10.7,1265.01,23940.68,6824.34,2626.07,67.0
2017-11-30,11.28,1272.55,24272.35,6873.97,2647.58,73.0
2017-12-01,11.43,1258.65,24231.59,6847.59,2642.22,70.0
2017-12-04,11.68,1227.85,24290.05,6775.37,2639.44,64.0
2017-12-05,11.33,1228.51,24180.64,6762.21,2629.57,63.0
2017-12-06,11.02,1232.26,24140.91,6776.38,2629.27,60.0
2017-12-07,10.16,1244.52,24211.48,6812.84,2636.98,60.0
2017-12-08,9.58,1238.24,24329.16,6840.08,2651.5,64.0
2017-12-11,9.34,1245.58,24386.03,6875.08,2659.99,62.0
2017-12-12,9.92,1233.18,24504.8,6862.32,2664.11,66.0
2017-12-13,10.18,1233.04,24585.43,6875.8,2662.85,67.0
2017-12-14,10.49,1232.43,24508.66,6856.53,2652.01,66.0
2017-12-15,9.42,1250.89,24651.74,6936.58,2675.81,68.0
2017-12-18,9.53,1277.91,24792.2,6994.76,2690.16,74.0
2017-12-19,10.03,1276.52,24754.75,6963.85,2681.47,73.0
2017-12-20,9.72,1285.44,24726.65,6960.96,2679.25,72.0
2017-12-21,9.62,1271.81,24782.29,6965.36,2684.57,68.0
2017-12-22,9.9,1271.17,24754.06,6959.96,2683.34,66.0
2017-12-26,10.25,1258.88,24746.21,6936.25,2680.5,64.0
2017-12-27,10.47,1263.36,24774.3,6939.34,2682.62,61.0
2017-12-28,10.18,1266.3,24837.51,6950.16,2687.54,62.0
2017-12-29,11.04,1253.05,24719.22,6903.39,2673.61,53.0
2018-01-02,9.77,1287.7,24824.01,7006.9,2695.81,63.0
2018-01-03,9.15,1309.86,24922.68,7065.53,2713.06,67.0
2018-01-04,9.22,1317.24,25075.13,7077.91,2723.99,72.0
2018-01-05,9.22,1325.71,25295.87,7136.56,2743.15,75.0
