Algorithm,Model,Dataset,Parameters,MSE,MAE,R-Squared,Adj-R-Squared
RF,Model 1,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.018768,0.073714,0.511610,0.510728
RF,Model 1,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.018783,0.073638,0.511201,0.510318
RF,Model 1,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.015365,0.058721,0.600156,0.599433
RF,Model 1,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.015287,0.058437,0.602185,0.601466
RF,Model 1,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.015319,0.058403,0.601352,0.600632
RF,Model 1,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.017616,0.064037,0.541585,0.540757
RF,Model 1,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.017574,0.063875,0.542675,0.541849
RF,Model 1,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.017598,0.063848,0.542040,0.541213
RF,Model 1,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.012740,0.053710,0.668476,0.667877
RF,Model 1,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.012676,0.053380,0.670123,0.669527
RF,Model 1,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.012705,0.053299,0.669373,0.668776
RF,Model 1,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.019471,0.069579,0.493303,0.492388
RF,Model 1,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.019568,0.069535,0.490773,0.489853
